Date,Open,High,Low,Close,Adj Close,Volume,MACD,RSI,MA,EMA,SMA,STD,Upper,Lower,numeric_classes
11-02-2018,52.387501,53.412498,51.357498,51.869999,49.744736,365314800,-0.432919334,42.06552588,54.60324985,54.50849309,54.60324985,1.150895976,56.9050418,52.3014579,0
11-05-2018,51.075001,51.0975,49.5425,50.397499,48.332554,264654800,-0.703093112,33.77525261,54.32599975,54.11696984,54.32599975,1.442294656,57.21058906,51.44141044,0
11-06-2018,50.48,51.18,50.422501,50.942501,48.855228,127531600,-0.863279325,36.51285395,54.03724985,53.81463947,54.03724985,1.514583991,57.06641783,51.00808187,0
11-07-2018,51.4925,52.514999,51.032501,52.487499,50.336926,133697600,-0.855695698,45.37276414,53.9571248,53.68824514,53.9571248,1.553533719,57.06419224,50.85005736,0
11-08-2018,52.494999,52.529999,51.6875,52.122501,50.161301,101450400,-0.869119242,41.51506274,53.8826249,53.53912665,53.8826249,1.605778155,57.09418121,50.67106859,0
11-09-2018,51.387501,51.502499,50.5625,51.1175,49.194099,137463200,-0.949902791,37.82360773,53.6621249,53.30849554,53.6621249,1.669538902,57.0012027,50.3230471,0
11-12-2018,49.75,49.962502,48.447498,48.5425,46.716,204542000,-1.207782747,30.87329596,53.3722499,52.85459121,53.3722499,2.013511425,57.39927275,49.34522705,0
11/13/2018,47.907501,49.294998,47.862499,48.057499,46.249241,187531600,-1.434751081,33.42517594,52.99824995,52.39772528,52.99824995,2.268677977,57.5356059,48.460894,0
11/14/2018,48.474998,48.619999,46.482498,46.700001,44.942829,243204000,-1.704515273,26.32031875,52.56837495,51.85508487,52.56837495,2.600370718,57.76911639,47.36763351,4
11/15/2018,47.0975,47.9925,46.724998,47.852501,46.051964,185915200,-1.804506987,32.41983132,52.26074995,51.47388641,52.26074995,2.779242035,57.81923402,46.70226588,0
11/16/2018,47.625,48.7425,47.365002,48.3825,46.562016,147713200,-1.820004769,36.41248565,51.9385,51.17946866,51.9385,2.838969984,57.61643997,46.26056003,0
11/19/2018,47.5,47.674999,46.247501,46.465,44.716671,167701200,-1.964369074,31.81817628,51.5036251,50.73047164,51.5036251,2.981680703,57.46698651,45.54026369,0
11/20/2018,44.592499,45.3675,43.877499,44.244999,42.580204,271300800,-2.232183135,23.41964577,50.9317501,50.11280758,50.9317501,3.224917966,57.38158603,44.48191417,2
11/21/2018,44.932499,45.067501,44.137501,44.195,42.532082,124496800,-2.420559506,19.95503517,50.45287515,49.54920686,50.45287515,3.481752018,57.41637919,43.48937111,0
11/23/2018,43.735001,44.150002,43.025002,43.072498,41.451809,94496000,-2.630107427,23.08397877,49.859,48.93237744,49.859,3.681542992,57.22208598,42.49591402,0
11/26/2018,43.560001,43.737499,42.564999,43.654999,42.012405,179994000,-2.717843097,28.18314189,49.3379999,48.42976997,49.3379999,3.789233773,56.91646745,41.75953235,3
11/27/2018,42.877499,43.692501,42.720001,43.560001,41.920982,165549600,-2.763187488,25.39576081,48.8629999,47.96598245,48.8629999,3.892144844,56.64728959,41.07871021,0
11/28/2018,44.182499,45.322498,43.732498,45.235001,43.532955,184250000,-2.63360617,26.03667947,48.4584999,47.70588898,48.4584999,3.823800503,56.10610091,40.81089889,0
11/29/2018,45.665001,45.700001,44.424999,44.887501,43.198524,167080000,-2.529790537,26.06682104,47.96712495,47.43747108,47.96712495,3.602534256,55.17219346,40.76205644,0
11/30/2018,45.072498,45.0825,44.2575,44.645,42.965153,158126000,-2.43896879,27.45166347,47.42162495,47.17152145,47.42162495,3.196182506,53.81398996,41.02925994,0
12-03-2018,46.115002,46.235001,45.302502,46.205002,44.466457,163210000,-2.215573031,41.23712221,47.1383751,47.07947198,47.1383751,3.027797531,53.19397016,41.08278004,5
12-04-2018,45.237499,45.5975,44.067501,44.172501,42.510433,165377200,-2.177436,36.94995809,46.8271252,46.8026176,46.8271252,2.994913147,52.81695149,40.83729891,0
12-06-2018,42.939999,43.695,42.605,43.68,42.036465,172393600,-2.162030303,39.22967217,46.46400015,46.50522545,46.46400015,2.908711719,52.28142359,40.64657671,0
12-07-2018,43.372501,43.622501,42.075001,42.122501,40.537563,169126400,-2.249566725,30.13865369,45.94575025,46.08782312,45.94575025,2.694496249,51.33474275,40.55675775,0
12-10-2018,41.25,42.522499,40.8325,42.400002,40.804623,248104000,-2.270376472,28.89400082,45.4596253,45.73660206,45.4596253,2.380177152,50.2199796,40.699271,0
12-11-2018,42.915001,42.947498,41.75,42.157501,40.571255,189126800,-2.280151978,32.76656696,45.01162535,45.39573529,45.01162535,2.083999468,49.17962429,40.84362641,0
12-12-2018,42.599998,42.98,42.255001,42.275002,40.684334,142510800,-2.252452913,40.52431134,44.69825045,45.0985226,44.69825045,1.994412945,48.68707634,40.70942456,0
12/13/2018,42.622501,43.142502,42.387501,42.737499,41.129425,127594400,-2.168188039,43.25699595,44.43225045,44.87366321,44.43225045,1.873932711,48.18011587,40.68438503,3
12/14/2018,42.25,42.27,41.32,41.369999,39.813389,162814800,-2.186548175,42.29812921,44.16575035,44.5399809,44.16575035,1.913045211,47.99184077,40.33965993,0
12/17/2018,41.362499,42.087502,40.682499,40.985001,39.442863,177151600,-2.20672706,37.70152925,43.82237535,44.20141139,43.82237535,1.831048102,47.48447155,40.16027915,0
12/18/2018,41.345001,41.8825,41.0975,41.517502,39.955326,135366000,-2.154910129,40.95639381,43.47912545,43.94580097,43.47912545,1.553659523,46.5864445,40.3718064,2
12/19/2018,41.5,41.862499,39.772499,40.2225,38.709053,196189200,-2.193060441,27.03322473,43.16700045,43.59120088,43.16700045,1.549278653,46.26555776,40.06844314,0
12/20/2018,40.099998,40.5275,38.825001,39.2075,37.732243,259092000,-2.278926805,25.47496309,42.9151255,43.17370556,42.9151255,1.75996061,46.43504672,39.39520428,0
12/21/2018,39.215,39.540001,37.407501,37.682499,36.264626,382978400,-2.441882848,22.93489487,42.58950045,42.6507335,42.58950045,2.083436351,46.75637315,38.42262775,0
12/24/2018,37.037498,37.887501,36.647499,36.7075,35.326313,148676800,-2.619504935,11.32152127,42.27125055,42.08471126,42.27125055,2.458202341,47.18765523,37.35484587,0
12/26/2018,37.075001,39.307499,36.68,39.2925,37.814049,234330000,-2.522604804,30.98207085,42.0531256,41.81878638,42.0531256,2.521685333,47.09649627,37.00975493,0
12/27/2018,38.959999,39.192501,37.517502,39.037498,37.568638,212468400,-2.438280305,31.56640356,41.82700045,41.55390177,41.82700045,2.581510432,46.99002131,36.66397959,3
12/28/2018,39.375,39.630001,38.637501,39.057499,37.587894,169165600,-2.34283191,36.13749032,41.51812535,41.31614913,41.51812535,2.521145522,46.56041639,36.47583431,0
12/31/2018,39.6325,39.84,39.119999,39.435001,37.951183,140014000,-2.211237346,36.70999699,41.24550035,41.13699216,41.24550035,2.430806094,46.10711254,36.38388816,2
01-02-2019,38.7225,39.712502,38.557499,39.48,37.994492,148158800,-2.079347241,37.78233964,40.98725035,40.97918339,40.98725035,2.322590199,45.63243075,36.34206995,0
01-03-2019,35.994999,36.43,35.5,35.547501,34.209965,365248800,-2.266021897,27.22964784,40.4543753,40.4618803,40.4543753,2.284742341,45.02385998,35.88489062,0
01-04-2019,36.1325,37.137501,35.950001,37.064999,35.670357,234428400,-2.265399387,32.08024235,40.0990002,40.1383678,40.0990002,2.228032971,44.55506614,35.64293426,0
01-07-2019,37.174999,37.2075,36.474998,36.982498,35.590954,219111200,-2.245676425,34.91490426,39.7641251,39.83780877,39.7641251,2.163874294,44.09187369,35.43637651,5
01-08-2019,37.389999,37.955002,37.130001,37.6875,36.26944,164101200,-2.148392731,38.9066461,39.54237505,39.63301746,39.54237505,2.136544929,43.81546491,35.26928519,0
01-09-2019,37.822498,38.6325,37.407501,38.327499,36.885365,180396400,-1.996636154,39.34535092,39.3387499,39.50868237,39.3387499,2.041829526,43.42240895,35.25509085,0
01-10-2019,38.125,38.4925,37.715,38.450001,37.003254,143122800,-1.845212623,43.57674087,39.1533749,39.40785557,39.1533749,1.938115301,43.0296055,35.2771443,0
01-11-2019,38.220001,38.424999,37.877499,38.072498,36.639957,108092800,-1.735662088,45.68768499,38.9432497,39.28067866,38.9432497,1.805112835,42.55347537,35.33302403,2
1/14/2019,37.712502,37.817501,37.305,37.5,36.088993,129756800,-1.675721629,49.25251311,38.68137475,39.11109021,38.68137475,1.593164457,41.86770366,35.49504584,0
1/15/2019,37.567501,38.3475,37.512501,38.267502,36.827621,114843600,-1.548437957,56.500004,38.5262499,39.03074848,38.5262499,1.463352364,41.45295463,35.59954517,0
1/16/2019,38.27,38.970001,38.25,38.735001,37.277527,122278800,-1.393774898,47.17936451,38.4137499,39.00258205,38.4137499,1.346175826,41.10610155,35.72139825,0
1/17/2019,38.549999,39.415001,38.314999,38.965,37.498871,119284800,-1.238369164,49.63226999,38.2861248,38.99900281,38.2861248,1.141938195,40.57000119,36.00224841,0
1/18/2019,39.375,39.470001,38.994999,39.205002,37.729851,135004000,-1.083354607,50.73184285,38.2352499,39.01862178,38.2352499,1.071630712,40.37851132,36.09198848,0
1/22/2019,39.102501,39.182499,38.154999,38.325001,36.882954,121576000,-1.019758044,44.75425529,38.19112495,38.95256266,38.19112495,1.047385217,40.28589538,36.09635452,0
1/23/2019,38.537498,38.785,37.924999,38.48,37.03212,92522400,-0.945945909,45.32273327,38.231,38.90755669,38.231,1.042170006,40.31534001,36.14665999,3
1/24/2019,38.5275,38.619999,37.935001,38.174999,36.73859,101766000,-0.901666444,68.60173995,38.30437495,38.83778929,38.30437495,0.9790074,40.26238975,36.34636015,0
1/25/2019,38.869999,39.532501,38.580002,39.439999,37.955994,134142000,-0.755787473,67.43757129,38.3117499,38.8951426,38.3117499,0.987362712,40.28647532,36.33702448,0
1/28/2019,38.947498,39.0825,38.415001,39.075001,37.604736,104768400,-0.661998518,64.75150881,38.31362505,38.91227197,38.31362505,0.988848053,40.29132116,36.33592894,0
1/29/2019,39.0625,39.532501,38.5275,38.669998,37.21497,166348800,-0.613280933,57.23222033,38.29425,38.88919826,38.29425,0.977233861,40.24871772,36.33978228,0
1/30/2019,40.8125,41.537498,40.057499,41.3125,39.758038,244439200,-0.357325048,66.96985756,38.38812495,39.1199889,38.38812495,1.164767979,40.71766091,36.05858899,0
1/31/2019,41.5275,42.25,41.139999,41.610001,40.04435,162958400,-0.128985456,67.61425408,38.494625,39.35713291,38.494625,1.352161104,41.19894721,35.79030279,3
